id,college_whynot,college_excited,college_challenge,gender_cat,so_cat,race_assn,parent_edu,primary_english,where_college
R_RJ2NWPKrwzgxpgB,,TAKING CLASSES FROM RENOWNED PROFESSORS,FINDING COMMUNITY,cis woman,bisexual/pansexual/omnisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_10q5WzP6Fz85hEo,,IN EXCITED TO MEET NEW PEOPLE AND EXPERIENCE MY NEW INDEPENDENCE TRYING TO FIGURE OUT HOW TO LIVE ALONE WITH DEPENDENCE ON MY PARENTS,THE BIGGEST CHALLENGE WILL BE TO FIND A GROUP OF FRIENDS THAT I CAN EXPERIENCE MY NEW LIFE WITH,cis woman,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_1nT7LzZjDlTlrPT,,I'M EXCITED ABOUT MEETING NEW PEOPLE AND EXPANDING MY SOCIAL GROUP.,I THINK THE BIGGEST CHALLENGE I'LL FACE IN COLLEGE IS THE CHANGE OF EDUCATION.,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,Bachelor's degree,Yes,California Community College (CCC)
R_eCL9cxnQ8he0WEF,,THE FUTURE AND IT’S ENDLESS POSSIBILITIES,MONEY FOR SCHOOL,cis woman,straight/heterosexual ,Other,Bachelor's degree,Yes,University of California (UC)
R_29dggeUNWbqEOlb,,"GETTING MY EDUCATION, LEARNING NEW THINGS AND STARTING A NEW STAGE OF MY LIFE",PAYING FOR MY BASIC NEEDS AND TRANSFERRING TO A 4 YEAR UNIVERSITY,gender diverse/questioning,bisexual/pansexual/omnisexual,Hispanic/Latinx,Don't know,Yes,California Community College (CCC)
R_3JKU29pZ6sNXwyX,,HAVING A SOCIAL LIFE FOR THE FIRST TIME IN MY LIFE :)),ADJUSTING,cis woman,straight/heterosexual ,Hispanic/Latinx,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,Private four-year college/university in California
R_PNXIfAStIBD0G6l,,KNOW HOW MANY TIMES AND CLASSES I NEED TO TAKE.,"I DON'T KNOW IF I WILL HAVE THE MONEY TO DO IT, AND IF I CAN ARRANGE MY SCHEDULE.",cis man,straight/heterosexual ,Hispanic/Latinx,High school diploma,No,California Community College (CCC)
R_2hHtWnX1rFg8j1n,,BEING INDEPENDENT AND HAVING THE FREEDOM TO CHOOSE WHAT I WANT TO DO EVERYDAY.,THE WORKLOAD AND PERSONAL LIFE BALANCE.,cis woman,straight/heterosexual ,Pacific Islander,Bachelor's degree,Yes,College outside of California
R_2yrZi8GbQoRr9L8,,LEARNING AND SWIM,BALANCING CHURCH & COLLEGE,cis woman,straight/heterosexual ,White/Non-Hispanic,"Some college, no college degree",No,California Community College (CCC)
R_2YEU40hBCasGq72,,BEING INDEPENDENT OF PARENTS. LEANING ABOUT THINGS THAT MATTER WITH ENGAGED PROFESSORS. MEETING NEW PEOPLE WITH VARIED LIFE EXPERIENCES.,"LIVING SITUATION, I'M AN ONLY KID IN MY OWN ROOM AND BATHROOM AT HOME. FIGURING OUT WHAT I WANT TO STUDY.",cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,Private four-year college/university in California
R_1DULFDyxI3EzsmF,,EVERYTHING I WANT TO EXPIERENXE IT SEE HOW IT IS,MAYBE CHOOSING WHAT I ACTUALLY DO,cis man,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_1DqzLQcRF5kQGwA,,GETTING A DEGREE,BEING SO FAR FROM HOME,cis woman,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,University of California (UC)
R_W8tBC6B9U1c2n8B,,FREEDOM TO BECOME MY TRUE SELF,GETTING AROUND THE AREA,cis woman,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,University of California (UC)
R_12m1cBmmnb9mSvS,,DOING WELL ACADEMICALLY AND TAKING ADVANTAGE OF ALL THE OPPORTUNITIES I HAVE,BALANCING WORK AND LIFE,cis man,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California Community College (CCC)
R_3Jbju7UF93eBAxO,,I AM EXCITED TO BE IN A NEW ENVIRONMENT WITH NEW PEOPLE.,I THINK THE BIGGEST CHALLENGE WILL BE PAYING FOR COLLEGE,cis woman,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,University of California (UC)
R_3Di3rgZvlcWW3jy,,THE COLLEGE EXPERIENCE AND LIVING IN A NEW SETTING,SCHOOL WORK,cis man,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,College outside of California
R_2TXdNVChO2yEOc4,,TAKING FUN CLASSES AND MEETING PEOPLE,FRESHMAN YEAR MATH,cis man,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,University of California (UC)
R_9AixurLXGfeQFmF,,"I AM REALLY EXCITED TO EXPAND MY PERSPECTIVE ON THE WORLD, SPECIFICALLY SURROUNDING MYSELF WITH MORE PEOPLE THAT ARE DIFFERENT FROM MYSELF. THIS WILL HELP ME WORK ON MYSELF MORE AND STABILIZE THE PERSON I AM TRYING TO BECOME, BOTH ACADEMICALLY AND PERSONALLY.","I FEEL THAT I MAY STRUGGLE WITH HANDLING SOME OF THE PROBLEMS I'VE HAD IN HIGH SCHOOL, SPECIFICALLY WITH ALL THE HARASSMENT GOING ON IN THE WORLD. I AM GOING TO A COLLEGE VERY FAR FROM MY HOME AND I WILL HAVE TO HANDLE PROBLEMS COMPLETELY ON MY OWN. PROBLEMS I'VE HAD IN HIGHSCHOOL WERE IGNORING SEXIST COMMENTS AND PROBLEMS I'VE HAD WITH GUYS TREATING THE GIRLS IN MY SCHOOL WITH NO RESPECT. IT IS THIS KIND OF STUFF THAT CAN HAPPEN MORE OFTEN IN COLLEGE, SO MY CHALLENGE WILL BE HANDLING THOSE SITUATIONS.",cis woman,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,California State University (CSU)
R_6g0vskaJF3aBN3H,,I AM MOST EXCITED TO MEET NEW PEOPLE AND BE MORE INDEPENDENT,THE BIGGEST CHALLENGE I’LL FACE IS ADJUSTING FORM A SMALL HIGH SCHOOL CAMPUS TO A LARGE UNIVERSITY,cis woman,asexual/aromantic/demisexual,Asian,"Some college, no college degree",No,Private four-year college/university in California
R_2EyI3q2xLD28zmY,,"A NEW ENVIRONMENT WITH BEING ABLE TO CHOOSE MY OWN CLASSES THAT I AM INTERESTED IN, AND ALSO MEETING NEW PEOPLE AND MAKING MEANINGFUL RELATIONSHIPS DIFFERENT FROM HIGH SCHOOL.","LIVING IN A PLACE I'VE NEVER LIVED IN BEFORE, AND TRYING TO NAVIGATE MYSELF ON HOW TO DO EVERYTHING AS I AM THE FIRST CHILD THAT WILL BE LIVING FAR FROM HOME FOR COLLEGE.",cis woman,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_Y3UXC7iQUtSr9mx,,HOPEFULLY MAKING GOOD EXPERIENCES,"THE STRUGGLE BETWEEN, MENTAL HEALTH, MONEY, AND MOTIVATION",cis woman,straight/heterosexual ,American Indian/Alaskan Native,High school diploma,Yes,California State University (CSU)
R_DoyZZlJLksVgAwx,,GETTING MY DEGREE,LONELINESS,cis woman,bisexual/pansexual/omnisexual,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_1OH3vyAcJXqSI1a,,BEING WITH MY FRIENDS AND BEING ABLE TO STUDY MY MAJOR THAT I AM INTERESTED AND HOPEFULLY MEETING NEW PEOPLE AND HAVING A BETTER EXPERIENCE SOCIALISING THAN HIGHSCHOOL,THE WORK LIKE BIG ESSAYS OR HARD EXAMS AND MAYBE EVEN THE BASIC CLASSES SUCH AS MATH OR IMPROVING MY ENGLISH WRITING,cis man,straight/heterosexual ,Black/African American,Did not complete high school,Yes,California Community College (CCC)
R_2zNP26swZwuiWj0,,MEETING NEW PEOPLE AND FINDING MYSELF AWAY FROM HOME.,I DID NOT RECEIVE ANY FASFA SO I AM WORRIED ABOUT THE CHALLENGE OF COST.,cis woman,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,College outside of California
R_5bQjXQ9DIER8TgR,,EXPERIENCING A NEW CITY AND LIVING ON MY OWN,ACADEMICS,cis woman,straight/heterosexual ,Filipino,"Some college, no college degree",Yes,University of California (UC)
R_3kHOfVlA5ovSXTH,,I AM MOST EXCITED TO CREATE NEW FRIENDSHIPS AND GET TO EXPERIENCE NEW THINGS WITH NEW PEOPLE.,ACCOMPLISHING THE GOALS I WANT WITHOUT GETTING SET BACK.,cis woman,straight/heterosexual ,Hispanic/Latinx,High school diploma,No,California Community College (CCC)
R_3NPpAtxN2rNTTTC,,NEW PEOPLE,BALANCING CLASSES AND WORK,cis woman,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,California State University (CSU)
R_1qgovWOnuMgGye2,,,THE FINANCIAL LIMITATIONS.,cis woman,other/queer/questioning,Hispanic/Latinx,Did not complete high school,No,University of California (UC)
R_12L032nwSuFbJGp,,I’M MOST EXCITED ABOUT MOVING TO A NEW CITY AND STARTING MEETING NEW PEOPLE.,I THINK THE BIGGEST CHALLENGE I’LL FACE IS PAYING FOR COLLEGE AND MANAGING MY TIME BETWEEN WORK AND SCHOOL.,cis woman,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,University of California (UC)
